# orig_data & Leave1Out
## FBCSP + classifier
逻辑斯蒂回归分类
| abbr.                                      | test_score       | train_score      | params                                                                                                               |
| [8, 12, 16, 20, 24, 28, 32]_12_riemann_6   | 0.546 (+/-0.030) | 0.697 (+/-0.021) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 12, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}   |
| [8, 12, 16, 20, 24, 28, 32]_12_euclid_6    | 0.546 (+/-0.030) | 0.697 (+/-0.021) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 12, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}    |
| [8, 12, 16, 20, 24, 28, 32]_12_logeuclid_6 | 0.546 (+/-0.030) | 0.697 (+/-0.021) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 12, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6} |
| [8, 12, 16, 20, 24, 28, 32]_4_riemann_6    | 0.546 (+/-0.040) | 0.655 (+/-0.026) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}    |
| [8, 12, 16, 20, 24, 28, 32]_4_euclid_6     | 0.546 (+/-0.040) | 0.655 (+/-0.026) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}     |
| [8, 12, 16, 20, 24, 28, 32]_4_logeuclid_6  | 0.546 (+/-0.040) | 0.655 (+/-0.026) | {'FBCSP__band': [8, 12, 16, 20, 24, 28, 32], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}  |
| [8, 12, 16, 20]_2_euclid_6                 | 0.525 (+/-0.028) | 0.572 (+/-0.044) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                 |
| [8, 12, 16, 20]_2_logeuclid_6              | 0.525 (+/-0.028) | 0.572 (+/-0.044) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}              |
| [8, 12, 16, 20]_2_riemann_6                | 0.525 (+/-0.028) | 0.572 (+/-0.044) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 2, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                |
| [8, 12, 16, 20]_8_euclid_6                 | 0.512 (+/-0.013) | 0.607 (+/-0.049) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                 |
| [8, 12, 16, 20]_8_logeuclid_6              | 0.512 (+/-0.013) | 0.607 (+/-0.049) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}              |
| [8, 12, 16, 20]_8_riemann_6                | 0.512 (+/-0.013) | 0.607 (+/-0.049) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 8, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                |
| [8, 12, 16, 20]_4_logeuclid_6              | 0.498 (+/-0.025) | 0.575 (+/-0.044) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}              |
| [8, 12, 16, 20]_4_euclid_6                 | 0.498 (+/-0.025) | 0.575 (+/-0.044) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                 |
| [8, 12, 16, 20]_4_riemann_6                | 0.498 (+/-0.025) | 0.575 (+/-0.044) | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                |
| [12, 16]_8_riemann_6                       | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                       |
| [8, 12]_8_logeuclid_6                      | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}                      |
| [12, 16]_16_riemann_6                      | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [12, 16], 'FBCSP__k': 16, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                      |
| [8, 12]_8_euclid_6                         | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                         |
| [8, 12]_8_riemann_6                        | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12], 'FBCSP__k': 8, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                        |
| [8, 12]_12_logeuclid_6                     | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12], 'FBCSP__k': 12, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}                     |
| [12, 16]_16_euclid_6                       | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [12, 16], 'FBCSP__k': 16, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                       |
| [8, 12, 16, 20]_16_logeuclid_6             | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 16, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}             |
| [8, 12, 16, 20]_16_euclid_6                | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 16, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}                |
| [8, 12, 16, 20]_16_riemann_6               | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [8, 12, 16, 20], 'FBCSP__k': 16, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}               |
| [12, 16]_16_logeuclid_6                    | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [12, 16], 'FBCSP__k': 16, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 6}                    |
| [12, 16]_12_riemann_6                      | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [12, 16], 'FBCSP__k': 12, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}                      |
| [20, 24, 28, 32]_16_riemann_6              | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [20, 24, 28, 32], 'FBCSP__k': 16, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 6}              |
| [20, 24, 28, 32]_16_euclid_6               | nan (+/-nan)     | nan (+/-nan)     | {'FBCSP__band': [20, 24, 28, 32], 'FBCSP__k': 16, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6}               |
