# ea & Leave1Out
## FBCSP + classifier train
| abbr.                                                                            | test_score       | train_score      | params                                                                                                                                                                    |
| [8, 12, 16]_8_euclid_2_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.626 (+/-0.071) | 0.810 (+/-0.013) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_all_euclid_6_RandomForestClassifier(max_depth=5, n_estimators=10)    | 0.626 (+/-0.105) | 0.804 (+/-0.020) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 'all', 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 6, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}    |
| [8, 12, 16]_8_euclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.624 (+/-0.081) | 0.807 (+/-0.023) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_8_riemann_2_RandomForestClassifier(max_depth=5, n_estimators=10)     | 0.624 (+/-0.075) | 0.811 (+/-0.020) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 2, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}       |
| [8, 12, 16]_8_logeuclid_4_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.624 (+/-0.096) | 0.807 (+/-0.014) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 8, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_2_logeuclid_8_RandomForestClassifier(max_depth=5, n_estimators=10)   | 0.624 (+/-0.089) | 0.740 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 8, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}     |
| [8, 12, 16]_2_euclid_4_RandomForestClassifier(max_depth=5, n_estimators=10)      | 0.624 (+/-0.085) | 0.737 (+/-0.023) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 2, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 4, 'classify': RandomForestClassifier(max_depth=5, n_estimators=10)}        |
| [8, 12, 16]_4_riemann_8_SVC(C=0.5)                                               | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'riemann', 'FBCSP__n_components': 8, 'classify': SVC(C=0.5)}                                                 |
| [8, 12, 16]_4_logeuclid_2_SVC(C=0.5)                                             | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'logeuclid', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                               |
| [8, 12, 16]_4_euclid_2_SVC(C=0.5)                                                | 0.623 (+/-0.088) | 0.717 (+/-0.034) | {'FBCSP__band': [8, 12, 16], 'FBCSP__k': 4, 'FBCSP__metric': 'euclid', 'FBCSP__n_components': 2, 'classify': SVC(C=0.5)}                                                  |
